	zscore	H_statistic	H_pvalue	S0S2_pvalue	S0S3_pvalue	S0S4_pvalue	S0S1_pvalue
Cd63	1.5276821851730347	377.2275294239208	1.8943981562984647e-81	0.00026991394467420463	3.5066043043727225e-15	4.1938996582716914e-17	1.0
Slfn1	1.5418007373809814	298.4513879798533	2.1524314100713383e-64	4.684866002473225e-16	3.0367627826810256e-12	6.482585912645439e-05	1.0
Fau	1.5408965349197388	287.73760486464164	4.482423751969851e-62	4.067325956686457e-14	1.320948401291261e-12	0.0004046478058747312	1.0
Eif5	1.5022121667861938	243.53785282215685	1.6346429569860107e-52	0.008725118766485768	2.555109071506306e-11	3.7880933391251267e-10	1.0
Itgb1	1.5725103616714478	232.04794787647754	4.989039005692844e-50	4.441358457140436e-05	2.3410854690542394e-12	5.3172749622328846e-14	1.0
Klhl6	1.5253018140792847	210.62531417829692	2.1332263431476168e-45	1.4011209073247536e-13	2.0849619985296666e-05	6.860780583594883e-05	1.0
H3f3b	1.5190212726593018	199.8096760651545	4.637521123188304e-43	4.2480873255542294e-11	1.4785052074096897e-16	0.0002269758284859213	1.0
Arl8a	1.5501502752304077	198.68742999535883	8.105271607335806e-43	0.00013492346836395242	3.620969210797466e-11	3.912382407152529e-12	1.0
Ubc	1.5137850046157837	191.0197740090688	3.6755158495290446e-41	3.1641111446291314e-05	3.134816435678739e-21	3.2792062860568387e-11	1.0
Rps12	1.5236475467681885	186.8357747807195	2.945121167105043e-40	1.9295423678451188e-09	3.040298682986473e-07	0.004555998945348508	1.0
Sirt2	1.5733321905136108	182.28136319977315	2.836477525943996e-39	0.001802673315385132	5.444548110190289e-10	7.30332879569596e-10	1.0
Rpl37	1.5683015584945679	180.2359858166222	7.843386609308096e-39	5.426072786047801e-10	9.674197441002497e-09	0.001488746523273599	1.0
Znrf1	1.5303738117218018	179.5840759313579	1.0846405054461816e-38	0.0005992507376450012	7.790153216384248e-12	1.6981720075098017e-10	1.0
Laptm5	1.5028117895126343	177.22288752216144	3.5088843173109597e-38	2.7750742184074744e-09	9.053070016400244e-08	0.0036378979425646116	1.0
Rrbp1	1.568110704421997	166.95313381389693	5.786331240466402e-36	1.7032752820767764e-12	2.8992965382424513e-10	1.9331299758927426e-05	1.0
Rps28	1.6399554014205933	165.74805881501476	1.0532404269511777e-35	0.0006784582271161678	6.413003882739467e-08	3.5177521510605994e-10	1.0
