	stat	logfc	pval	qval
Slfn4	-0.549570316050753	2.8257062251809795	1.2301183539270303e-90	9.102875819060025e-87
Ifitm3	-0.5469016024282021	3.4595024797117775	1.325087437690334e-89	4.902823519454236e-86
Isg15	-0.5271958922747609	3.214731037256619	2.911813398699517e-82	7.182473050125475e-79
Il1b	-0.5052071194441445	2.7505593311210506	1.2738933473865176e-74	2.3567026926650576e-71
Ifit1	-0.49693259866449907	4.438027547431428	6.899180852616224e-72	1.021078766187201e-68
Ifi204	-0.49654415009981295	2.7046564210643864	9.231960847646418e-72	1.1386085045430584e-68
Oasl2	-0.4900207967639607	2.9923103440960395	1.162575504391191e-69	1.2290083903564017e-66
Trim30a	-0.4894947004036389	2.6593024011240503	1.7093109007194304e-69	1.581112583165473e-66
Cxcl10	-0.48819216708506485	6.112323947084457	4.4261192288201834e-69	3.6392535881410397e-66
Il1r2	-0.4806283406110489	3.759771952307563	1.0245808777149827e-66	7.581898495090871e-64
Herc6	-0.4802442785369096	3.930800784378148	1.3459635596163313e-66	9.054663946509866e-64
Parp14	-0.46939243696499855	2.6680228782485202	2.6021366072920434e-63	1.6046509078300934e-60
Clec2d	-0.46287984661067916	2.5877433414199142	2.1453495272993647e-61	1.2211989616934845e-58
Sp100	-0.4551412396191604	3.0813204838689523	3.5904829286099306e-59	1.7713049114475656e-56
Hdc	-0.45514589910472814	4.014031964147517	3.5795721749069822e-59	1.7713049114475656e-56
Isg20	-0.4514433469532746	3.5799198228779647	3.959925350903412e-58	1.8314654747928282e-55
Mxd1	-0.4471121267605623	1.7900860475463753	6.34684282504483e-57	2.762743347372455e-54
Ly6e	-0.445295680036878	4.304913355318118	2.0077349214879905e-56	8.254021343895073e-54
Cd47	-0.43589705400231965	2.614226785136088	6.960609655686048e-54	2.7109742869514084e-51
Samhd1	-0.435766665398315	2.862773875778474	7.539207398479625e-54	2.7895067374374615e-51
Ifit3	-0.4303259749838868	5.679339236137795	2.0460316806913447e-52	7.209825922436167e-50
Mnda	-0.42905626820515314	6.4215275627047905	4.382494319392376e-52	1.4741117256137992e-49
Cd300lf	-0.42834537580783244	1.7503231267447426	6.703809159592294e-52	2.120875487803413e-49
Trafd1	-0.4283022940135937	2.9851736479867688	6.878515095578636e-52	2.120875487803413e-49
Cd52	-0.42791729609527285	2.5952284934443814	8.655062312179361e-52	2.5618984444050906e-49
Oasl1	-0.42438783140163094	4.262382096808469	7.013956161671283e-51	1.9962798306295188e-48
Gbp2	-0.42395655508534663	2.60237806971743	9.041916621396886e-51	2.4781549258643315e-48
Slfn5	-0.42325387311251284	3.9202440685874094	1.3665515128959996e-50	3.611600426939428e-48
Irf7	-0.4229415273649465	3.0974059508330214	1.6414157704742478e-50	4.1884402418998045e-48
Gbp5	-0.422474974201534	3.5740620252743103	2.1574991912461306e-50	5.321831338407122e-48
Ifitm2	-0.42194869653751227	2.5330738575921012	2.9353357840825214e-50	7.006930581358278e-48
Ifi47	-0.4204110555112041	3.282185992963365	7.193766448766642e-50	1.663558491277286e-47
Rsad2	-0.41796585289023735	2.7175329243870006	2.964024418362477e-49	6.646600210873433e-47
Slfn1	-0.4076253279043192	2.3372527601969546	1.0393310368951905e-46	2.2620734332424735e-44
Cmpk2	-0.40599294601205516	4.841457870029204	2.572665238576303e-46	5.439349361561327e-44
Trim12a	-0.400330235243001	1.982173785504432	5.741209440312847e-45	1.1801374960643074e-42
